,Parking Position,Car Number Plate,Entry Time,Exit Time,Day
0,A4,AR-26-CN-7159,2020-07-19 09:24:06.610789,2020-07-19 10:09:44.610789,Sun
1,A7,UP-83-QO-9696,2020-07-19 09:24:06.366749,2020-07-19 10:47:51.366749,Sun
2,A8,TS-17-YX-7633,2020-07-19 09:24:06.739020,2020-07-19 10:05:41.739020,Sun
3,A11,UP-96-XM-8675,2020-07-19 09:24:06.561132,2020-07-19 10:52:13.561132,Sun
4,A13,DD-71-BH-6140,2020-07-19 09:24:06.676378,2020-07-19 09:42:07.676378,Sun
5,A16,JK-78-SV-2245,2020-07-19 09:24:06.554041,2020-07-19 11:10:53.554041,Sun
6,A21,JK-19-MP-8795,2020-07-19 09:24:06.286723,2020-07-19 10:17:19.286723,Sun
7,A24,HP-82-XK-5695,2020-07-19 09:24:06.622059,2020-07-19 09:41:35.622059,Sun
8,A28,MZ-49-BH-7959,2020-07-19 09:24:06.683111,2020-07-19 11:18:51.683111,Sun
9,A30,LD-20-NB-6364,2020-07-19 09:24:06.473943,2020-07-19 10:09:14.473943,Sun
10,A32,UP-59-NZ-3343,2020-07-19 09:24:06.577590,2020-07-19 10:01:48.577590,Sun
11,A37,BR-69-XT-7181,2020-07-19 09:24:06.731356,2020-07-19 10:09:29.731356,Sun
12,A41,AP-13-SF-4560,2020-07-19 09:24:06.680889,2020-07-19 10:05:13.680889,Sun
13,A43,HR-59-RL-1701,2020-07-19 09:24:06.371763,2020-07-19 09:28:35.371763,Sun
14,A48,JH-47-HK-5500,2020-07-19 09:24:06.380884,2020-07-19 10:34:24.380884,Sun
15,A51,KL-56-ER-6405,2020-07-19 09:24:06.653724,2020-07-19 11:11:49.653724,Sun
16,A53,JH-46-BI-7161,2020-07-19 09:24:06.589173,2020-07-19 09:36:36.589173,Sun
17,A60,AS-21-DX-8268,2020-07-19 09:24:06.710785,2020-07-19 10:17:15.710785,Sun
18,A63,UK-86-KR-2494,2020-07-19 09:24:06.342443,2020-07-19 09:46:06.342443,Sun
19,A71,WB-25-CI-2004,2020-07-19 09:24:06.616544,2020-07-19 10:46:49.616544,Sun
20,A78,HP-20-DG-7869,2020-07-19 09:24:06.780235,2020-07-19 10:14:40.780235,Sun
21,A79,WB-75-SM-6338,2020-07-19 09:24:06.424076,2020-07-19 10:41:01.424076,Sun
22,A83,UK-46-MA-0741,2020-07-19 09:24:06.383340,2020-07-19 09:37:36.383340,Sun
23,A87,UK-35-CV-6972,2020-07-19 09:24:06.369512,2020-07-19 10:35:41.369512,Sun
24,A95,TS-23-JQ-5270,2020-07-19 09:24:06.540759,2020-07-19 10:40:11.540759,Sun
25,A98,JH-27-QY-2765,2020-07-19 09:24:06.693955,2020-07-19 10:06:09.693955,Sun
26,A104,BR-61-GN-2803,2020-07-19 09:24:06.319836,2020-07-19 10:50:46.319836,Sun
27,A106,TR-16-BE-5978,2020-07-19 09:24:06.722742,2020-07-19 09:45:57.722742,Sun
28,A110,DL-34-UG-7810,2020-07-19 09:24:06.376238,2020-07-19 10:20:53.376238,Sun
29,A111,GA-63-XG-2474,2020-07-19 09:24:06.544160,2020-07-19 11:06:07.544160,Sun
