,Parking Position,Car Number Plate,Entry Time,Exit Time,Day
0,A3,AS-22-OT-6972,2020-08-06 12:10:57.497103,2020-08-06 13:35:39.497103,Thu
1,A12,DD-18-CQ-2802,2020-08-06 12:10:57.394337,2020-08-06 13:48:08.394337,Thu
2,A13,AR-45-BP-8477,2020-08-06 12:10:57.443744,2020-08-06 13:31:45.443744,Thu
3,A21,HR-19-MB-2416,2020-08-06 12:10:57.219238,2020-08-06 12:22:45.219238,Thu
4,A22,OD-01-XU-4337,2020-08-06 12:10:57.315451,2020-08-06 12:53:39.315451,Thu
5,A30,TN-53-QW-9631,2020-08-06 12:10:57.520860,2020-08-06 12:26:21.520860,Thu
6,A33,JK-97-TO-5795,2020-08-06 12:10:57.272989,2020-08-06 13:25:02.272989,Thu
7,A39,MH-20-MG-7088,2020-08-06 12:10:57.263632,2020-08-06 12:45:47.263632,Thu
8,A60,HR-89-KB-3776,2020-08-06 12:10:57.212464,2020-08-06 13:52:00.212464,Thu
9,A69,DL-41-BJ-3904,2020-08-06 12:10:57.492831,2020-08-06 13:21:37.492831,Thu
10,A71,LD-57-XO-0904,2020-08-06 12:10:57.412163,2020-08-06 12:11:53.412163,Thu
11,A75,WB-16-VN-3614,2020-08-06 12:10:57.365653,2020-08-06 12:17:19.365653,Thu
12,A87,JK-26-QT-9424,2020-08-06 12:10:57.483570,2020-08-06 13:17:21.483570,Thu
13,A96,LD-85-LV-2605,2020-08-06 12:10:57.205484,2020-08-06 12:56:15.205484,Thu
14,A108,CH-29-BW-9532,2020-08-06 12:10:57.167093,2020-08-06 13:36:48.167093,Thu
15,A118,AP-59-RY-5502,2020-08-06 12:10:57.425829,2020-08-06 13:12:31.425829,Thu
16,A119,CG-32-PB-1340,2020-08-06 12:10:57.306332,2020-08-06 13:26:57.306332,Thu
17,A121,LD-51-UD-9301,2020-08-06 12:10:57.387689,2020-08-06 12:29:45.387689,Thu
18,A126,HR-31-YR-9160,2020-08-06 12:10:57.467819,2020-08-06 13:26:01.467819,Thu
19,A135,CG-72-XK-9718,2020-08-06 12:10:57.505727,2020-08-06 13:23:15.505727,Thu
20,A150,HR-92-GP-2818,2020-08-06 12:10:57.485709,2020-08-06 12:11:18.485709,Thu
21,A154,LD-17-SY-8406,2020-08-06 12:10:57.515382,2020-08-06 12:25:20.515382,Thu
22,A160,OD-39-ET-7971,2020-08-06 12:10:57.357027,2020-08-06 12:32:33.357027,Thu
23,A162,JH-75-FJ-8421,2020-08-06 12:10:57.322598,2020-08-06 13:28:31.322598,Thu
24,A169,DD-80-NL-8787,2020-08-06 12:10:57.250865,2020-08-06 13:29:23.250865,Thu
25,A172,BR-81-MP-6218,2020-08-06 12:10:57.279432,2020-08-06 13:38:16.279432,Thu
26,A173,CH-39-MA-2251,2020-08-06 12:10:57.224166,2020-08-06 12:27:36.224166,Thu
27,A180,MZ-37-IH-6171,2020-08-06 12:10:57.416916,2020-08-06 13:50:42.416916,Thu
28,A182,PY-04-GM-0797,2020-08-06 12:10:57.256945,2020-08-06 13:55:13.256945,Thu
29,A190,GA-24-XG-0292,2020-08-06 12:10:57.461911,2020-08-06 13:33:26.461911,Thu
30,A197,LD-82-ZH-4393,2020-08-06 12:10:57.476659,2020-08-06 12:59:59.476659,Thu
31,B5,UK-01-EA-2325,2020-08-06 12:10:57.396469,2020-08-06 13:29:55.396469,Thu
32,B8,GA-80-PM-4414,2020-08-06 12:10:57.335728,2020-08-06 14:09:21.335728,Thu
33,B16,UK-66-PH-3848,2020-08-06 12:10:57.494972,2020-08-06 13:27:55.494972,Thu
34,B17,UP-96-NR-2750,2020-08-06 12:10:57.378747,2020-08-06 13:49:58.378747,Thu
35,B25,UK-31-ZT-5344,2020-08-06 12:10:57.311115,2020-08-06 12:11:40.311115,Thu
36,B28,UP-23-ZO-1634,2020-08-06 12:10:57.548183,2020-08-06 12:37:47.548183,Thu
37,B32,JK-73-LE-3714,2020-08-06 12:10:57.277286,2020-08-06 13:35:22.277286,Thu
38,B33,TR-23-LS-3526,2020-08-06 12:10:57.216885,2020-08-06 13:57:26.216885,Thu
39,B35,CG-92-TP-6603,2020-08-06 12:10:57.432290,2020-08-06 13:48:13.432290,Thu
40,B41,TR-62-NH-6848,2020-08-06 12:10:57.361304,2020-08-06 13:14:49.361304,Thu
41,B46,SK-37-PD-0756,2020-08-06 12:10:57.333532,2020-08-06 14:08:33.333532,Thu
42,B48,HR-20-CV-1985,2020-08-06 12:10:57.452547,2020-08-06 13:54:30.452547,Thu
43,B57,TN-79-WT-2325,2020-08-06 12:10:57.244401,2020-08-06 13:47:30.244401,Thu
44,B69,CG-92-TK-0262,2020-08-06 12:10:57.233022,2020-08-06 12:56:53.233022,Thu
45,B70,TS-78-DH-4788,2020-08-06 12:10:57.414788,2020-08-06 13:57:10.414788,Thu
46,B73,TS-48-YP-5102,2020-08-06 12:10:57.207849,2020-08-06 12:34:42.207849,Thu
47,B75,AR-37-FJ-2896,2020-08-06 12:10:57.501931,2020-08-06 13:21:59.501931,Thu
48,B78,AS-54-VQ-4278,2020-08-06 12:10:57.301829,2020-08-06 13:25:33.301829,Thu
49,B79,TN-44-TL-3066,2020-08-06 12:10:57.345141,2020-08-06 14:06:32.345141,Thu
50,B82,HP-77-SX-5019,2020-08-06 12:10:57.308974,2020-08-06 12:48:17.308974,Thu
51,B89,MZ-28-SB-6147,2020-08-06 12:10:57.248710,2020-08-06 13:51:54.248710,Thu
52,B90,HP-77-AK-8895,2020-08-06 12:10:57.376607,2020-08-06 13:11:57.376607,Thu
53,B97,MN-42-GG-2736,2020-08-06 12:10:57.202827,2020-08-06 12:55:39.202827,Thu
54,B99,LA-35-PN-9017,2020-08-06 12:10:57.464046,2020-08-06 13:34:17.464046,Thu
55,B101,MH-36-XD-6180,2020-08-06 12:10:57.441576,2020-08-06 13:18:47.441576,Thu
56,B103,DD-73-TY-4356,2020-08-06 12:10:57.526071,2020-08-06 13:34:41.526071,Thu
57,B105,BR-44-BJ-4303,2020-08-06 12:10:57.230790,2020-08-06 13:35:53.230790,Thu
58,B108,UP-46-CU-7831,2020-08-06 12:10:57.338299,2020-08-06 13:02:41.338299,Thu
59,B109,WB-45-FT-9678,2020-08-06 12:10:57.283808,2020-08-06 14:09:37.283808,Thu
60,B120,RJ-91-CF-5112,2020-08-06 12:10:57.281654,2020-08-06 14:08:46.281654,Thu
61,B147,PB-47-QF-1928,2020-08-06 12:10:57.226385,2020-08-06 13:20:14.226385,Thu
62,B148,HP-02-XV-9893,2020-08-06 12:10:57.419048,2020-08-06 14:04:36.419048,Thu
63,B151,CH-65-QJ-5890,2020-08-06 12:10:57.214679,2020-08-06 13:29:59.214679,Thu
64,B154,KL-68-QE-5036,2020-08-06 12:10:57.478806,2020-08-06 12:23:58.478806,Thu
65,B158,JH-47-AV-8547,2020-08-06 12:10:57.197582,2020-08-06 13:11:25.197582,Thu
66,B167,JK-38-BX-0815,2020-08-06 12:10:57.523315,2020-08-06 13:39:55.523315,Thu
67,B168,AP-39-DF-8002,2020-08-06 12:10:57.329096,2020-08-06 13:20:35.329096,Thu
68,B169,KL-44-GT-7639,2020-08-06 12:10:57.508926,2020-08-06 13:33:43.508926,Thu
69,B173,LA-16-TN-4833,2020-08-06 12:10:57.342947,2020-08-06 13:50:57.342947,Thu
70,B179,AR-86-UW-5961,2020-08-06 12:10:57.392184,2020-08-06 13:34:20.392184,Thu
71,B182,PB-36-ID-4221,2020-08-06 12:10:57.374453,2020-08-06 12:41:45.374453,Thu
72,B183,RJ-25-IZ-3537,2020-08-06 12:10:57.242258,2020-08-06 12:52:25.242258,Thu
73,B187,AS-18-ON-8180,2020-08-06 12:10:57.518114,2020-08-06 13:48:09.518114,Thu
74,B190,UK-99-LW-0299,2020-08-06 12:10:57.499781,2020-08-06 13:28:40.499781,Thu
75,B191,TS-13-LJ-2930,2020-08-06 12:10:57.372284,2020-08-06 12:20:48.372284,Thu
76,B195,HP-50-SG-7445,2020-08-06 12:10:57.246537,2020-08-06 13:00:19.246537,Thu
77,B196,RJ-38-ZN-3246,2020-08-06 12:10:57.427961,2020-08-06 12:35:38.427961,Thu
78,B199,KA-57-TK-6553,2020-08-06 12:10:57.352555,2020-08-06 12:22:28.352555,Thu
79,C2,HR-20-ZS-5792,2020-08-06 12:10:57.363441,2020-08-06 12:51:37.363441,Thu
80,C6,CH-05-MF-6088,2020-08-06 12:10:57.331292,2020-08-06 12:25:14.331292,Thu
81,C7,AN-97-JE-8200,2020-08-06 12:10:57.488520,2020-08-06 12:22:00.488520,Thu
82,C10,HR-14-SG-4745,2020-08-06 12:10:57.550868,2020-08-06 12:34:11.550868,Thu
83,C12,LD-80-TG-0973,2020-08-06 12:10:57.253032,2020-08-06 13:24:17.253032,Thu
